gene	Peak	P.value	Adj.Pvalue	Qvalue	chromo	start	end	strand	distance	model
Usp27x	chrX_211235	3.2334389852593e-09	7.04572005361383e-07	3.82203909278446e-05	chrX	6750651	6751142	+	620	sleep
Zfand1	chr3_126565	8.4675653164117e-09	7.25025400435235e-07	3.86633023017259e-05	chr3	10359033	10360060	+	20	sleep
Crem	chr18_95778	2.44140503979656e-08	7.53955259473993e-07	3.95359391544463e-05	chr18	4656808	4657769	+	1391	sleep
Klf4	chr4_142858	3.107415946331e-09	8.11214415383387e-07	3.98798412167009e-05	chr4	56621323	56622287	+	1095	mix
Metrnl	chr11_41201	4.81669591678285e-09	7.99398793405881e-07	3.98798412167009e-05	chr11	121679503	121680155	+	22	mixedaf
Zfp36l1	chr12_47284	1.70966594061929e-08	7.94939675687167e-07	3.98798412167009e-05	chr12	79959434	79960029	+	148	mix
Rab33a	chrX_212053	6.30162210075299e-08	7.98500830609491e-07	3.98798412167009e-05	chrX	47976465	47977081	+	543	sleep
Fam81a	chr9_206078	1.93384140107795e-08	8.27858857073032e-07	4.00719685526292e-05	chr9	70359402	70360178	+	271	mixedaf
Tcea2	chr2_126023	1.20695617298792e-09	8.4286795233593e-07	4.01803153316535e-05	chr2	180529940	180530895	+	1150	sleep
Htr1a	chr13_59977	3.13544990325027e-09	8.84649671806793e-07	4.09821631261964e-05	chr13	104554774	104555399	+	889	mixedaf
Jak2	chr19_106063	5.2612374371269e-09	8.94470695942432e-07	4.09821631261964e-05	chr19	27689041	27689813	+	1562	sleep
Mamld1	chrX_212544	3.03400694844209e-08	8.98765169327293e-07	4.09821631261964e-05	chrX	70882982	70884048	+	167	sleep
Arpc2	chr1_5823	3.86366221479386e-09	9.47460554582292e-07	4.25854100187063e-05	chr1	72872504	72872984	+	1363	mixedaf
Adra1d	chr2_121117	4.63636669309886e-09	1.06110413439346e-06	4.66899501000023e-05	chr2	132671973	132672605	+	1126	sleep
Top1	chr2_123942	8.64603121550099e-09	1.06845976178662e-06	4.66899501000023e-05	chr2	160075537	160076173	+	570	sleep
Cdyl2	chr8_198140	1.31930276640391e-08	1.13334664007965e-06	4.88469707722147e-05	chr8	115741997	115743253	+	832	sleep
Kif16b	chr2_121841	1.95194129429783e-08	1.19376806890447e-06	5.03592365834096e-05	chr2	140475548	140476184	+	2142	sleep
Orc3	chr4_140977	1.00392770081789e-08	1.23998069081249e-06	5.03592365834096e-05	chr4	33243973	33244266	+	1327	sleep
Gadd45a	chr6_170781	5.23333159507422e-09	1.26446989569407e-06	5.03592365834096e-05	chr6	67081038	67081906	+	46	mixedaf
Fam196a	chr7_187750	6.64788260679243e-09	1.2249424306709e-06	5.03592365834096e-05	chr7	134746655	134747566	+	135	mix
Pdzd2	chr15_71784	7.47691133006384e-09	1.25985309141892e-06	5.03592365834096e-05	chr15	12629962	12630766	+	271	mixedaf
Spry4	chr18_99010	2.54965850335286e-09	1.24149603855716e-06	5.03592365834096e-05	chr18	39903441	39904258	+	1318	sleep
Cln6	chr9_205333	7.29680676479192e-09	1.35455120714034e-06	5.32725119635526e-05	chr9	63553444	63554083	+	715	sleep
Glrx3	chr7_187916	2.30858999230972e-08	1.51004727673145e-06	5.86547597835538e-05	chr7	137283483	137284239	+	154	mix
Fam171a1	chr2_109122	1.22432986039821e-08	1.62535087709246e-06	6.17590651655171e-05	chr2	3217855	3219138	+	104	sleep
Ppm1k	chr6_170275	5.00480938711165e-09	1.62922502023903e-06	6.17590651655171e-05	chr6	58538440	58539073	+	1032	sleep
Galnt7	chr8_193000	5.80915502046915e-08	1.65964107495488e-06	6.21630942127535e-05	chr8	57589015	57589798	+	66	sleep
Tpt1-ps3	chr6_173884	3.51182948799719e-08	1.69107838197222e-06	6.25954184399853e-05	chr6	100363665	100364192	+	486	sleep
Ptprn	chr1_6315	4.24989199784344e-09	1.71893277959979e-06	6.28866090149824e-05	chr1	77723546	77724248	+	2477	sleep
Tmem209	chr6_167451	8.97563767326612e-09	1.74818728722039e-06	6.32217393672731e-05	chr6	30028196	30028914	+	450	sleep
Ildr2	chr1_13733	1.69168290878094e-08	1.92121268232666e-06	6.71630902557001e-05	chr1	166038528	166039442	+	215	sleep
Oprl1	chr2_126023	1.09467855417826e-09	1.89477246720423e-06	6.71630902557001e-05	chr2	180529940	180530895	+	1185	sleep
Mkx	chr18_95956	4.50806907878167e-08	1.90542242411909e-06	6.71630902557001e-05	chr18	6700869	6701582	+	209	sleep
Sec14l2	chr11_28930	2.65682854305824e-08	2.00397165119607e-06	6.92863871497267e-05	chr11	3567924	3568389	+	529	mixedaf
Fndc3b	chr3_127623	2.12480269940021e-08	2.2109520795126e-06	7.56117408743777e-05	chr3	28057892	28058604	+	642	sleep
Pou3f3	chr1_3348	4.91330277154438e-08	2.39316480630458e-06	8.09631494704857e-05	chr1	42727409	42728386	+	32	sleep
Mmd	chr11_37158	6.09188239946089e-08	2.49193531365745e-06	8.34077961068582e-05	chr11	89107108	89107763	+	1142	flat
Lgi2	chr5_156270	2.38771517612696e-08	2.52950941518159e-06	8.37742271330021e-05	chr5	51766131	51766607	+	767	sleep
Setd7	chr3_129213	1.12942414491042e-08	2.59884580246202e-06	8.51739942679175e-05	chr3	51326624	51327732	+	188	sleep
Mettl16	chr11_35705	7.64734880182009e-09	2.63764043308779e-06	8.52257568383757e-05	chr11	76418300	76418973	+	1648	sleep
Pim1	chr17_90028	5.10924292443119e-09	2.65460071711505e-06	8.52257568383757e-05	chr17	27230846	27231541	+	2260	sleep
Nrf1	chr6_167451	1.30038178324454e-08	2.69047256192043e-06	8.55049205351201e-05	chr6	30028196	30028914	+	19	sleep
Acin1	chr14_65638	1.82222640574654e-08	2.7473268463794e-06	8.64386678156036e-05	chr14	55372785	55373508	+	731	mix
Nrp1	chr8_199847	4.00828979329252e-08	3.03625525636523e-06	9.45833388518386e-05	chr8	128164642	128165562	+	194	sleep
Thtpa	chr14_65638	5.36982601925765e-08	3.46327899986521e-06	0.000106827986450353	chr14	55372785	55373508	+	319	sleep
1110059E24Rik	chr19_105394	4.53482435019328e-08	3.55461138015384e-06	0.000108580700010868	chr19	21457318	21457987	+	124	sleep
Tgoln1	chr6_171230	5.5465723668325e-08	3.64674786856868e-06	0.000110324033997561	chr6	72926663	72927509	+	319	sleep
Pcsk1	chr13_57418	5.85793830568827e-08	4.07516924645187e-06	0.000122110802690029	chr13	74822076	74822507	+	268	sleep
Car12	chr9_205714	1.00514095852465e-07	4.34385680053321e-06	0.000125628399021484	chr9	66721967	66722724	+	9	sleep
Tmem267	chr13_61385	4.49405370662198e-08	4.35227760218233e-06	0.000125628399021484	chr13	119487335	119489281	+	0	NA
4930452B06Rik	chr14_61534	1.25750833519435e-08	4.27570137348553e-06	0.000125628399021484	chr14	7975007	7975691	+	456	sleep
AW554918	chr18_97689	5.57788579124161e-08	4.2868911146262e-06	0.000125628399021484	chr18	26717320	26717979	+	1549	sleep
Chrm2	chr6_168201	4.9622131898789e-08	4.45622948861765e-06	0.000126907833756056	chr6	36842854	36843623	+	455	sleep
Slco3a1	chr7_182623	2.63745795695218e-07	4.49467201350428e-06	0.000126907833756056	chr7	74381926	74382895	+	107	sleep
Tmem100	chr11_37158	3.83989178598697e-08	4.53498696745799e-06	0.000126907833756056	chr11	89107108	89107763	+	923	sleep
Mdga1	chr17_90509	5.94042753270159e-08	4.55794562179668e-06	0.000126907833756056	chr17	30196632	30197324	+	369	sleep
Pcdh1	chr18_99010	2.55640925428059e-08	4.85483693996904e-06	0.000133988501901352	chr18	39903441	39904258	+	1718	sleep
Rhot2	chr17_89675	3.97313805796696e-08	4.9696821485644e-06	0.000135965432205336	chr17	24986893	24987745	+	851	sleep
Trub1	chr19_108967	1.84727701071437e-07	5.05431902361105e-06	0.000137088933058994	chr19	59144901	59146583	+	1693	sleep
Sik2	chr9_203968	1.14461174842809e-07	5.21160039822538e-06	0.000140146734140518	chr9	51058755	51059555	+	166	sleep
Micu3	chr8_191851	1.00370042288598e-07	5.26248468488782e-06	0.000140315798665729	chr8	40454428	40455008	+	147	sleep
Bcor	chrX_211534	4.97385145238698e-08	5.36663444129442e-06	0.000141890326166349	chrX	13070338	13072425	+	1035	sleep
Trib1	chr15_75246	3.86657777300837e-07	5.41554377329617e-06	0.000141990261636117	chr15	59621764	59622903	+	26	mix
Hspb8	chr5_161592	9.52351999543516e-08	5.5008762561742e-06	0.000142894930203777	chr5	116654350	116655512	+	246	sleep
Hnrnpll	chr17_94323	4.79545878792089e-08	5.54088219098128e-06	0.000142894930203777	chr17	79376425	79376985	+	653	ampfree.step
Tmem200c	chr17_93422	1.5178664836265e-07	5.76094254308554e-06	0.000147362223999283	chr17	68758492	68759493	+	78	sleep
Sspn	chr6_178242	4.90466059377852e-08	5.90785728648685e-06	0.000149715586089447	chr6	145373458	145374360	+	558	sleep
Rap2a	chr14_70652	5.35703698475526e-08	5.94811412790415e-06	0.000149715586089447	chr14	120854777	120855840	+	377	sleep
Egr4	chr6_171960	2.14428954034544e-08	6.29260262928633e-06	0.000155892176811538	chr6	84246778	84247495	+	1264	sleep
Ric8b	chr10_24407	3.7526496885109e-07	6.24553852648427e-06	0.000155892176811538	chr10	84726946	84727743	+	190	sleep
Hist2h3c1	chr3_133035	5.87096967175531e-08	6.47276877412997e-06	0.000159102813047724	chr3	95881808	95883363	+	364	sleep
Arsb	chr13_58777	1.12264480256113e-07	6.63451437296709e-06	0.000161814398766736	chr13	93891862	93892561	+	121	sleep
Lias	chr5_157180	1.14773458085188e-07	7.01261701771432e-06	0.000169720578698049	chr5	65194368	65194924	+	197	sleep
Ankrd50	chr3_128578	4.49560269941645e-07	7.09804263941018e-06	0.000170476705205123	chr3	38593154	38593901	+	144	sleep
Bicd2	chr13_55314	3.65253804941059e-08	7.22984602344285e-06	0.000172326811225975	chr13	49271859	49273028	+	69	sleep
Fem1b	chr9_205355	5.14449232668499e-08	7.36833893417532e-06	0.000174307345289898	chr9	63677470	63678530	+	886	mixedaf
Synpo	chr18_100724	6.37218140333327e-08	7.43697041541364e-06	0.000174617992253682	chr18	58741684	58742655	+	1852	sleep
Pxk	chr14_61534	2.16651656502002e-08	7.51384477142048e-06	0.000175116143809433	chr14	7975007	7975691	+	123	sleep
Fam149a	chr8_192197	7.38945490819977e-07	7.79434824681751e-06	0.000179357473569862	chr8	45751659	45752671	+	415	mix
Eif4b	chr15_80111	6.71783800864457e-08	7.85138121991215e-06	0.000179357473569862	chr15	101581648	101582138	+	492	sleep
Acat2	chr17_88872	4.60840333023614e-08	7.86684927326791e-06	0.000179357473569862	chr17	9300751	9301926	+	3642	sleep
1110032F04Rik	chr3_130680	1.14990709679759e-07	7.98852924453701e-06	0.00017952979239068	chr3	67961914	67962505	+	907	mix
1110032A03Rik	chr9_203968	1.00315600529614e-07	7.94176926738096e-06	0.00017952979239068	chr9	51058755	51059555	+	296	sleep
Arl5b	chr2_110271	2.46807289881758e-07	8.28460382294458e-06	0.000183616956495642	chr2	17105886	17106393	+	2057	mix
Skil	chr3_127953	2.24974270654124e-07	8.28711554245691e-06	0.000183616956495642	chr3	31495195	31495960	+	401	mix
Zbtb25	chr12_46805	1.47355514270854e-07	8.41360355516278e-06	0.000185115908124283	chr12	75290461	75291120	+	1057	sleep
Fam84b	chr15_75308	2.80208475930766e-07	8.49116675568286e-06	0.000185525073705492	chr15	60141453	60142155	+	677	sleep
Cyr61	chr3_137681	2.43092028999996e-07	9.01220526359116e-06	0.000195551345029532	chr3	145776618	145777472	+	130	sleep
Nupl1	chr14_66079	4.23762770086921e-07	9.61585521159557e-06	0.00020722053688607	chr14	60250898	60252394	+	67	sleep
Vwa3a	chr7_186423	9.66757255312634e-08	9.8681236261985e-06	0.000211210245717962	chr7	121295947	121296860	+	557	sleep
Ivns1abp	chr1_11888	1.53059666041165e-07	1.03212713978343e-05	0.000216490913938842	chr1	150472480	150473068	+	872	sleep
Gpr68	chr12_49265	4.93552674714591e-08	1.02761752497286e-05	0.000216490913938842	chr12	100570251	100571016	+	306	sleep
Atg4a	chrX_213965	1.53385584821996e-07	1.02853670809621e-05	0.000216490913938842	chrX	139920447	139921083	+	1036	sleep
Ulk3	chr9_204562	1.11189601850371e-07	1.04324855951711e-05	0.000217374492648828	chr9	57031447	57032302	+	558	sleep
Atg4a	chrX_214040	3.33626089765014e-06	1.0813442608531e-05	0.000223829913356867	chrX	141327821	141328624	+	371	sleep
Ccdc137	chr11_41201	5.20169831975446e-08	1.10641002382713e-05	0.000227217393827673	chr11	121679503	121680155	+	1222	sleep
Cpne6	chr14_65535	1.11972639071626e-07	1.11215305739388e-05	0.000227217393827673	chr14	54664357	54665232	+	846	sleep
Arpc5l	chr2_112787	1.08525383023236e-07	1.1198112881772e-05	0.000227305988617039	chr2	39068879	39069439	+	64	flat
Palmd	chr3_135037	8.85917982784575e-08	1.13980760826828e-05	0.000229881852465667	chr3	117265607	117266531	+	348	sleep
Ermn	chr2_114165	1.84964016898494e-07	1.20600479800765e-05	0.000241683564828108	chr2	58268818	58269404	+	224	circadian
Chrac1	chr15_76364	3.16928221912108e-07	1.2367091253768e-05	0.00024626813039122	chr15	72077299	72077791	+	1013	sleep
Cbln4	chr2_125413	1.50956012361001e-07	1.25299335696444e-05	0.000247941588392466	chr2	172127419	172127973	+	91	sleep
Txnrd1	chr10_24379	9.37239358617696e-08	1.2696018720683e-05	0.000249657896143678	chr10	84532179	84532535	+	1698	sleep
Gm9925	chr18_102399	1.22345247388087e-07	1.28133194708212e-05	0.000250399532283183	chr18	74182282	74183255	+	118	ampfree.step
Npas2	chr1_2910	2.3552058590787e-07	1.37021418202052e-05	0.000266079203283024	chr1	38972964	38973567	+	220	sleep
Arhgef7	chr8_189505	3.8719093630086e-07	1.38693799122805e-05	0.000266079203283024	chr8	12073324	12074506	+	346	sleep
Wrn	chr8_191218	9.54594264340037e-07	1.3831308597287e-05	0.000266079203283024	chr8	33582093	33582578	+	348	sleep
Krtcap3	chr5_154314	2.9930661424715e-08	1.42196288771306e-05	0.000269511876979195	chr5	30643308	30644035	+	608	sleep
Rmnd1	chr10_16997	4.54580160620006e-07	1.42171761127146e-05	0.000269511876979195	chr10	3643273	3643758	+	758	sleep
Glrx	chr13_57418	2.02563806057264e-07	1.47837041445022e-05	0.000278525220381479	chr13	74822076	74822507	+	1018	mix
Irf2	chr8_192266	6.70262724969122e-07	1.48815584605919e-05	0.000278699935359073	chr8	46293096	46294296	+	446	sleep
Osbpl3	chr6_169377	6.31359869414021e-08	1.52913704036133e-05	0.000284680315651245	chr6	49637489	49638077	+	656	sleep
Mycn	chr12_42171	2.85863083673954e-07	1.60260125326377e-05	0.000296602147806708	chr12	13106874	13107474	+	171	ampfree.step
Zdbf2	chr1_5266	4.09624166967184e-07	1.65034627962272e-05	0.000303652389509541	chr1	64918692	64919849	+	1646	sleep
Ccdc112	chr18_99538	3.43560407467481e-07	1.66487863079192e-05	0.000304545275867004	chr18	45697909	45698628	+	584	sleep
Fgf14	chr14_70996	5.39689725780314e-07	1.69231560064218e-05	0.000307774751851457	chr14	124163738	124164567	+	186	sleep
Ankrd23	chr1_2692	1.96066553757674e-07	1.71937274747418e-05	0.000310277535433438	chr1	37367992	37369240	+	838	flat
Camk1g	chr1_16816	1.6606811471377e-07	1.72580072416268e-05	0.000310277535433438	chr1	193636160	193637189	+	290	sleep
BC005537	chr13_52822	3.87318015339118e-07	1.7832681338052e-05	0.000318787817261016	chr13	23964765	23965629	+	836	flat
Bloc1s4	chr5_154974	1.0265899180658e-07	1.79699304714993e-05	0.000319426442964847	chr5	36260691	36261506	+	486	sleep
Tmem18	chr12_43346	2.17348148811422e-07	1.82421813428569e-05	0.000322444149420661	chr12	30635038	30636076	+	51	sleep
Nhlrc3	chr3_129499	1.01871099229015e-06	1.86464114313543e-05	0.000326471535632079	chr3	53379498	53380158	+	69	sleep
4931406C07Rik	chr9_200620	1.45290721517666e-07	1.86775579350826e-05	0.000326471535632079	chr9	18291625	18292825	+	3009	sleep
Pfdn2	chr1_14432	7.39541845150961e-08	1.88040592664585e-05	0.000326863510141812	chr1	171713741	171714201	+	368	flat
Gpatch2	chr1_16153	3.2952325295175e-07	1.89077605307701e-05	0.000326863510141812	chr1	188313043	188314003	+	1098	ampfree.step
Pnrc1	chr4_141017	5.0288974400417e-07	1.90985587159342e-05	0.000328357726037226	chr4	33588984	33589583	+	344	circadian
Prpf4b	chr13_53700	2.57077865310014e-07	1.94253647639007e-05	0.000332161348165022	chr13	34372204	34373070	+	503	sleep
Selenof	chr3_137463	2.05630570369229e-07	1.98759764907147e-05	0.00033802940496668	chr3	144166242	144167036	+	404	NA
Ostc	chr3_136140	3.72481895211021e-07	2.10608337692337e-05	0.000351519987649888	chr3	129830774	129831882	+	865	sleep
Atg4c	chr4_145956	3.88013296864408e-08	2.12002363515614e-05	0.000351519987649888	chr4	98455237	98455726	+	738	sleep
Atp10d	chr5_157777	4.92365758834238e-07	2.11342162281551e-05	0.000351519987649888	chr5	72245228	72246032	+	42	mix
Cmc2	chr8_198140	2.02239200993583e-07	2.12278441428826e-05	0.000351519987649888	chr8	115741997	115743253	+	1146	sleep
Slc44a2	chr9_200679	6.91534482295824e-08	2.07993772170418e-05	0.000351519987649888	chr9	20822590	20823438	+	498	mix
Oard1	chr17_92030	2.38241389058618e-07	2.13648704389913e-05	0.000351936759743802	chr17	49710156	49710829	+	1300	sleep
Bhlhe40	chr6_174639	6.61788524771261e-07	2.16553615803455e-05	0.000354864001813163	chr6	108594094	108594916	+	66	sleep
Dpp10	chr1_9439	7.70385168328662e-07	2.19732961547198e-05	0.000358055315234979	chr1	121653817	121654514	+	1667	sleep
Akr1b3	chr6_167937	7.49495317414933e-08	2.20777148641024e-05	0.000358055315234979	chr6	34087680	34088236	+	214	sleep
Plk2	chr13_60607	5.77370479205816e-07	2.25216483540847e-05	0.000363381904571301	chr13	110141235	110141728	+	254	mix
Gm12394	chr4_141761	1.26460268997727e-07	2.33119146560825e-05	0.000370433699715386	chr4	44321982	44322548	+	1540	sleep
Emp2	chr16_81040	1.81986600141656e-07	2.32763330282839e-05	0.000370433699715386	chr16	10033294	10034080	+	248	ampfree.step
Ctsf	chr19_103897	6.20758263742756e-08	2.32384429956486e-05	0.000370433699715386	chr19	3419149	3419766	+	1436	mixedaf
Tomm40l	chr1_14432	2.03243816007553e-07	2.35804305796531e-05	0.000370953497671688	chr1	171713741	171714201	+	498	flat
Krit1	chr5_152224	5.10975754114432e-07	2.35213215492408e-05	0.000370953497671688	chr5	3583330	3584361	+	219	sleep
Dusp5	chr19_108342	1.4611824105825e-07	2.36996553348784e-05	0.000370974200560992	chr19	53507348	53507941	+	21	sleep
Maml3	chr3_129317	1.93897603118977e-07	2.3990412001551e-05	0.000371825699347399	chr3	52017662	52018465	+	332	sleep
Sel1l	chr12_48444	2.85619407197212e-07	2.38779237621407e-05	0.000371825699347399	chr12	89789929	89790488	+	2016	sleep
Csnk1a1	chr18_101059	4.5300542539215e-08	2.4656348408984e-05	0.00038027373102956	chr18	61621987	61622489	+	67	sleep
1190002N15Rik	chr9_207752	1.82005875227274e-07	2.50988418011624e-05	0.000385210002005453	chr9	92704540	92705265	+	1813	mix
Scg2	chr1_6434	4.87828084665281e-07	2.57832872950331e-05	0.00039379373490821	chr1	79143915	79144723	+	290	mix
Hsdl2	chr4_143010	1.51766838194542e-07	2.75241745789973e-05	0.000418351849480572	chr4	57486244	57486923	+	2095	sleep
Rbm45	chr2_116021	3.72410998743874e-07	2.81475225507919e-05	0.000425769527639364	chr2	76468199	76468755	+	98	sleep
Fat1	chr8_191977	2.21954653996343e-07	2.83461593596869e-05	0.000426722628200042	chr8	41821583	41822073	+	3114	circadian
Igfbp3	chr11_29468	1.92251195285318e-07	2.88915432738045e-05	0.000430810242836886	chr11	8445917	8446529	+	1240	circadian
Slc5a3	chr16_87602	1.11475494694751e-07	2.88189126933738e-05	0.000430810242836886	chr16	91962184	91963448	+	96	sleep
Fancg	chr4_141761	7.67472099391651e-08	2.90435310552423e-05	0.000431033763008633	chr4	44321982	44322548	+	1320	sleep
Keap1	chr9_200679	1.99402387054816e-07	2.99916954952822e-05	0.000443015732778123	chr9	20822590	20823438	+	407	sleep
